name_a,name_b,score,ortho_sim,phon_sim,manual_review_ok
Bicozin,Romycin,0.4762,0.2857,0.6667,
Disopan,Ketocon,0.4762,0.2857,0.6667,
Disopan,Odmon,0.4762,0.2857,0.6667,
Disopan,Opton,0.4762,0.2857,0.6667,
Disopan,Zithrin,0.4762,0.2857,0.6667,
Etizin,Romycin,0.4762,0.2857,0.6667,
Fenadin,Flamyd,0.4762,0.2857,0.6667,
Fenadin,Ketocon,0.4762,0.2857,0.6667,
Fenadin,Metsina,0.4762,0.2857,0.6667,
Fenadin,Montair,0.4762,0.2857,0.6667,
Fixal,Ketoral,0.4762,0.2857,0.6667,
Flugal,Lucan-R,0.4762,0.2857,0.6667,
Ketocon,Leptic,0.4762,0.2857,0.6667,
Ketocon,Metsina,0.4762,0.2857,0.6667,
Ketocon,Odmon,0.4762,0.2857,0.6667,
Ketoral,Sergel,0.4762,0.2857,0.6667,
Ketozol,Metsina,0.4762,0.2857,0.6667,
M-Kast,Montair,0.4762,0.2857,0.6667,
Metsina,Montair,0.4762,0.2857,0.6667,
Metsina,Opton,0.4762,0.2857,0.6667,
Montene,Odmon,0.4762,0.2857,0.6667,
Odmon,Romycin,0.4762,0.2857,0.6667,
Rhinil,Romycin,0.4762,0.2857,0.6667,
Axodin,Fexofast,0.4750,0.2500,0.7000,
Amodis,Montex,0.4750,0.1667,0.7833,
Metsina,Tamen,0.4742,0.1429,0.8056,
Ritch,Rivotril,0.4708,0.3750,0.5667,
Aceta,Cetisoft,0.4694,0.2500,0.6889,
Bacaid,Candinil,0.4694,0.2500,0.6889,
Candinil,Conaz,0.4694,0.2500,0.6889,
Metro,Rivotril,0.4694,0.2500,0.6889,
Renova,Rivotril,0.4694,0.2500,0.6889,
Napa Extend,Nexcap,0.4688,0.2727,0.6648,
Candinil,Ketoral,0.4650,0.1250,0.8050,
Candinil,Ketozol,0.4650,0.1250,0.8050,
Dancel,Tridosil,0.4650,0.1250,0.8050,
Axodin,Napa Extend,0.4650,0.1818,0.7481,
Bicozin,Zithrin,0.4643,0.4286,0.5000,
Disopan,Esoral,0.4643,0.4286,0.5000,
Etizin,Zithrin,0.4643,0.4286,0.5000,
Montair,Provair,0.4643,0.4286,0.5000,
Atrizin,Metsina,0.4631,0.1429,0.7833,
Denixil,Flexilax,0.4631,0.2500,0.6762,
Diflu,Telfast,0.4614,0.1429,0.7800,
